Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Location ID,Product ID,Sales,Quantity,Discount,Profit
CA-2014-106054,1/6/2014,1/7/2014,First Class,JO-15145,507,321,12.78,3,0,5.2398
CA-2014-130092,1/11/2014,1/14/2014,First Class,SV-20365,22,532,9.94,2,0,3.0814
CA-2014-149524,1/14/2014,1/15/2014,First Class,BS-11590,12,936,61.96,4,0.5,-53.2856
CA-2014-103366,1/15/2014,1/17/2014,First Class,EH-13990,237,248,149.95,5,0,65.978
CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,58,835,32.34,10,0.7,-23.716
CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,58,1324,56.064,4,0.2,19.6224
CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,58,114,108.72,5,0.2,36.693
CA-2014-146591,1/19/2014,1/20/2014,First Class,TS-21340,58,369,181.47,5,0.7,-320.597
CA-2014-167997,1/26/2014,1/29/2014,First Class,CA-11965,601,960,10.68,2,0,5.0196
CA-2014-167997,1/26/2014,1/29/2014,First Class,CA-11965,601,637,141.96,2,0,39.7488
CA-2014-115161,1/31/2014,2/2/2014,First Class,LC-17050,169,1117,290.666,2,0.15,3.4196
CA-2014-140795,2/1/2014,2/3/2014,First Class,BD-11500,157,480,468.9,6,0,206.316
CA-2014-131905,2/6/2014,2/9/2014,First Class,ND-18460,338,552,15,4,0,7.2
CA-2014-131905,2/6/2014,2/9/2014,First Class,ND-18460,338,299,161.61,1,0,42.0186
CA-2014-131905,2/6/2014,2/9/2014,First Class,ND-18460,338,1140,144.95,5,0,42.0355
CA-2014-125759,2/8/2014,2/9/2014,First Class,NM-18445,284,1705,14.56,2,0,5.5328
CA-2014-133354,2/22/2014,2/24/2014,First Class,SA-20830,521,591,19.44,3,0,9.3312
CA-2014-156545,2/27/2014,3/3/2014,First Class,JS-16030,48,492,19.456,4,0.2,3.4048
CA-2014-156587,3/7/2014,3/8/2014,First Class,AB-10015,6,214,48.712,1,0.2,5.4801
CA-2014-156587,3/7/2014,3/8/2014,First Class,AB-10015,6,252,17.94,3,0,4.6644
CA-2014-156587,3/7/2014,3/8/2014,First Class,AB-10015,6,879,242.94,3,0,4.8588
CA-2014-152618,3/14/2014,3/17/2014,First Class,RB-19465,156,1429,574.91,2,0.3,156.047
CA-2014-152618,3/14/2014,3/17/2014,First Class,RB-19465,156,1768,8.448,2,0.2,2.64
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,153,529,323.976,3,0.2,28.3479
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,153,1150,11.808,4,0.2,3.9852
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,153,379,26.16,3,0.2,1.962
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,153,1422,33.57,5,0.7,-25.737
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,153,1045,4.992,3,0.2,1.3728
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,153,1710,20.016,3,0.2,5.5044
CA-2014-103989,3/19/2014,3/21/2014,First Class,MC-17605,153,1805,170.24,2,0.2,53.2
CA-2014-164749,3/23/2014,3/26/2014,First Class,BG-11740,573,623,9.912,3,0.2,3.2214
US-2014-105151,3/30/2014,3/31/2014,First Class,SG-20890,30,1735,10.5,5,0,2.94
CA-2014-162089,3/30/2014,4/1/2014,First Class,MP-17470,231,561,335.72,5,0.2,113.3055
CA-2014-162089,3/30/2014,4/1/2014,First Class,MP-17470,231,824,251.944,7,0.2,88.1804
